gelukm;gelukv;educm;heightm;BMIm;healthm;consm;extram;agreem;emom;autom;riskym;Agem;educv;heightv;BMIv;healthv;consv;extrav;agreev;emov;autov;riskyv;Agev
3;3;3;176;22,598141;4;0,201804;0,026896;0,130684;0,139659;0,056509;0,372685;38;1;165;22,773186;2;-0,075229;-0,513731;-0,39049;0,095514;-0,655808;0,217932;33
2;1,5;2;180;29,320988;4;-1,009754;-1,052392;-0,025741;0,57807;0,121873;-0,795376;42;2;165;27,54821;4;0,09765;1,315199;-0,94948;-0,647695;-0,40557;-0,339546;40
2;2;2;176;22,920971;3;0,346999;-0,371443;-0,432027;-0,192647;-0,253068;0,009589;47;2;163;24,088223;3;1,035089;0,736864;-0,386769;-0,575916;0,328566;0,294629;39
1,5;1;2;176;25,180784;4;-0,18764;0,615395;-0,826164;0,315357;0,487048;0,193954;36;2;168;20,904196;3;-0,475116;-0,503567;-0,303129;-0,469194;-0,132105;0,173864;30
2;2;1;186;22,545959;4;-0,21751;0,169676;-0,293333;-0,155665;-0,098279;-0,049979;24;1;165;25,344353;3;-0,772305;0,330327;0,505229;-0,052569;0,276662;-1,931136;28
3;3;2;179;24,96801;3;-0,478029;-1,603183;1,032478;0,59566;0,728974;0,451445;29;2;170;22,49135;3;0,367883;-0,788144;-0,251796;-0,554716;-0,374031;0,411417;24
2;3;3;179;26,21641;3;0,058066;1,571249;-1,137719;0,478259;0,362392;0,134331;33;3;175;25,469387;0;-1,008298;1,438142;1,215135;-0,798769;0,74846;-0,087668;34
2;1;3;187;22,305471;4;0,61359;-0,389314;-0,822443;-0,288996;-1,50114;0,249179;41;2;176;22,598141;4;-0,18764;1,163238;1,016607;0,650873;0,23681;-0,14321;33
2;2;2;175;26,12245;3;-0,741707;-0,52193;0,981145;-0,091798;0,605725;0,385478;25;2;166;20,322252;3;0,367883;0,312455;-0,414296;0,18301;-0,683607;0,025069;26
2;2;2;182;24,755465;3;0,346999;-0,237353;-0,006149;0,321704;-0,064454;0,42674;41;2;158;22,83288;4;0,080408;0,614413;-0,303129;-0,073356;-0,132105;0,273832;38
2;2;3;176;22,275311;3;-1,153492;0,481306;-0,408221;0,143493;0,155699;0,298198;42;3;166;21,410946;3;0,490008;-0,087357;-0,128972;-0,04872;-0,120052;0,268725;40
2;3;3;178;22,408787;4;-0,147328;0,31049;1,52005;1,223028;0,772519;0,548411;44;2;163;21,829952;3;0,841325;0,026896;-2,090846;-1,751514;-1,786611;0,048715;38
2;2;2;192;23,60026;2;-0,208525;0,31049;-0,78698;-0,095324;-1,235109;0,323557;37;2;172;23,661438;4;0,633017;0,878661;-0,061203;-0,835986;0,109821;-0,258619;38
2;2;1;195;21,827745;4;0,099835;1,163238;-0,806572;-0,058513;-0,120052;0,669272;28;1;165;23,140495;3;-0,98887;1,163238;-1,048497;-0,07359;0,201577;0,62019;26
2;2;3;187;24,307243;4;0,498265;-1,469585;0,118535;1,15766;0,350339;0,252188;42;1;176;20,983988;3;0,62476;0,462451;-0,658082;-1,078651;-0,848162;-3,434109;33
1,5;2,5;2;180;27,777779;3;-1,029182;-0,541275;-0,00987;-0,430509;-0,386083;0,084679;44;1;166;25,402817;0;0,078951;0,367544;-0,025741;0,20827;0,121873;0,451999;38
2;1,5;2;174;26,423571;3;0,881637;-0,503567;-0,525463;0,168571;-0,306379;-0,439839;40;1;172;25,351542;3;0,901065;0,329836;0,739219;0,20827;0,109821;-0,270894;39
2;2;2;186;28,326975;4;-0,353719;-0,748961;0,198453;0,082978;1,020517;0,134408;37;1;169;21,007668;4;-0,073044;0,60474;-0,685609;-0,185839;-0,407856;0,372324;34
2;1,5;2;196;26,291128;3;0,306686;-1,05141;0,513164;0,104379;-0,640062;0,631981;45;2;171;21,887075;3;0,345542;0,064604;0,719628;0,05638;1,478856;0,300541;39
